Time (s),Lap Distance (m),Ground Speed (km/h),Latitude Degrees (),Latitude Minutes (),Latitude Minute fraction (),Longitude Degrees (),Longitude Minutes (),Longitude Minute - fraction (),YawNorth (rad),X (m),Y (m),AP Info:
110.35,5518.73327998333,147.245303392052,34,50,46.3323671358323,136,32,11.1843110498444,1.3967892984536,-203.656845092773,116.136207580566,0
110.366666666667,5519.41535149441,147.409589394796,34,50,46.3361717917506,136,32,11.2052729762854,1.4019409428027,-203.124298095703,116.253440856934,0
110.383333333333,5520.09760193428,147.322600629527,34,50,46.3407785129248,136,32,11.2352134605021,1.40854637424019,-202.363647460938,116.395385742188,0
110.4,5520.77976669089,147.37257422818,34,50,46.3448172080886,136,32,11.2606511574814,1.41495825449494,-201.717391967773,116.519828796387,0
110.416666666667,5521.46259078695,147.607435268293,34,50,46.3481390897384,136,32,11.2818947865708,1.42090547184018,-201.177688598633,116.622184753418,0
110.433333333333,5522.14612371265,147.67878863172,34,50,46.3529937092288,136,32,11.3162047335823,1.42817024985817,-200.306030273438,116.771766662598,0
110.45,5522.83032958299,147.89814735788,34,50,46.3563408244026,136,32,11.3365228170028,1.43368059495953,-199.789840698242,116.874900817871,0
110.466666666667,5523.51552973643,148.108318927137,34,50,46.3596241695312,136,32,11.3627491428179,1.44079005817441,-199.123550415039,116.976066589355,0
110.483333333333,5524.2013335383,148.158923483237,34,50,46.3634467787556,136,32,11.3913496824057,1.44933123240737,-198.396942138672,117.093849182129,0
110.5,5524.88821443694,148.573624725354,34,50,46.3666412572421,136,32,11.4185303874524,1.45601017127303,-197.706405639648,117.192276000977,0
110.516666666667,5525.57713271466,149.039071251028,34,50,46.3695826490634,136,32,11.4422629744968,1.46290680865315,-197.103469848633,117.282905578613,0
110.533333333333,5526.26764734809,149.263250391549,34,50,46.3724097160279,136,32,11.4692328746787,1.47022999177245,-196.41828918457,117.370010375977,0
110.55,5526.9595932473,149.657378067084,34,50,46.3760196358918,136,32,11.4970676394182,1.47883819142846,-195.711135864258,117.481239318848,0
